,bias_harg_,bias_harg_Rs,bias_livia_,bias_modif_,bias_modif_droog,bias_Berti,bias_droogersAllen2,bias_traj_balk,bias_Ravazzani,bias_perc_harg_,bias_perc_harg_Rs,bias_perc_livia_,bias_perc_modif_,bias_perc_modif_droog,bias_perc_Berti,bias_perc_droogersAllen2,bias_perc_traj_balk,bias_perc_Ravazzani,MAPE_harg_,MAPE_harg_Rs,MAPE_livia_,MAPE_modif_,MAPE_modif_droog,MAPE_Berti,MAPE_droogersAllen2,MAPE_traj_balk,MAPE_Ravazzani,MAE_harg_,MAE_harg_Rs,MAE_livia_,MAE_modif_,MAE_modif_droog,MAE_Berti,MAE_droogersAllen2,MAE_traj_balk,MAE_Ravazzani,KGE_harg_,KGE_harg_Rs,KGE_livia_,KGE_modif_,KGE_modif_droog,KGE_Berti,KGE_droogersAllen2,KGE_traj_balk,KGE_Ravazzani,R_harg_,R_harg_Rs,R_livia_,R_modif_,R_modif_droog,R_Berti,R_droogersAllen2,R_traj_balk,R_Ravazzani,RMSE_harg_,RMSE_harg_Rs,RMSE_livia_,RMSE_modif_,RMSE_modif_droog,RMSE_Berti,RMSE_droogersAllen2,RMSE_traj_balk,RMSE_Ravazzanil,WAPE_harg_,WAPE_harg_Rs,WAPE_livia_,WAPE_modif_,WAPE_modif_droog,WAPE_Berti,WAPE_droogersAllen2,WAPE_traj_balk,WAPE_Ravazzani
11874,-3.0348309330908836,-172.5572581173784,49.471433437445214,-72.39750298819668,99.60856837265496,-99.28742226083587,66.40104225745337,-138.90190359587004,-560.9330605024887,-0.4858963089147976,-22.09327469626478,5.72771275630425,-8.802081461397231,13.391952322569503,-12.836012366756567,8.915844006134574,-17.793762809096187,-71.9424862785323,3.6362830076705066,22.122939436360433,7.198975486890189,9.32548608007035,12.770452831093538,12.729279854311743,8.579068595359361,17.808108649688446,71.91519070677147,28.362733051248856,172.5572581173784,56.15146553401935,72.73808768575891,99.60856837265496,99.28742226083587,66.91608763268695,138.90190359587004,560.9330605024887,0.9524636846513446,0.7133040138443161,0.8255181592463842,0.8824628911474178,0.8049300395872154,0.842173806371249,0.860817849952725,0.7643345452158464,-0.009142222164869596,0.9715460247877789,0.9861489000513923,0.9522568065640621,0.9746596837221744,0.9796664082486315,0.970513215266186,0.9784985017247056,0.9758343238718008,0.9715460247877785,36.716914249019865,176.094561188621,73.64315849492532,79.92608698754155,106.88971421880828,105.92946908128529,75.64189115219723,143.92594773300632,571.0416441720363,3.636283007670507,22.122939436360433,7.198975486890189,9.325486080070352,12.770452831093534,12.729279854311743,8.579068595359365,17.808108649688446,71.91519070677148
11879,-105.95171860463691,-204.99193353584906,-87.75865685820982,-146.81830079737293,20.25546357340719,-199.14923745593774,-26.884450395780114,-228.1973250974709,-598.1146518681873,-12.59545380000501,-24.301211246812755,-10.483163766387747,-17.421128521793094,2.358486763575866,-23.621855239997124,-3.22269199521664,-27.046703639792284,-70.81311128538671,12.54080167968666,24.26353454446075,10.405623280542947,17.377907763054036,3.072510033152835,23.571973390212104,3.8099900247757597,27.01020271847787,70.79486137250345,105.95171860463691,204.99193353584906,87.91253524977928,146.81830079737293,25.958286141294476,199.14923745593774,32.18893028548402,228.1973250974709,598.1146518681873,0.23168924067838348,0.6906826869409729,-0.3349960625867101,0.4156961966562108,0.27604178676437474,0.3809361776384239,0.3186845157998144,0.5443042082418651,0.16274158341433864,0.842814029253459,0.9817093208367864,0.8347791066256123,0.843661888950918,0.8473900750107654,0.8422958606694275,0.8464881105461054,0.8447405260656612,0.8428140292534589,109.27818733235254,205.11926459605192,96.64280289353503,148.51248950545641,32.81233736590083,200.44201948543918,36.64316642158179,228.94572938192258,598.3098365243466,12.540801679686663,24.26353454446075,10.405623280542946,17.377907763054033,3.0725100331528346,23.571973390212104,3.809990024775759,27.01020271847787,70.79486137250346
11880,41.169488629438916,-132.6422464946578,128.40063063678272,-170.46237245160304,76.53048137490647,-75.56818964234488,110.97611473962448,-129.96723705846088,-851.8887745533603,4.5051305824923205,-14.652965988814332,14.039538450337345,-18.743844431976044,8.41637329163842,-8.321326890458563,12.1965754051542,-14.284899415586716,-93.60063345158159,4.633678089946527,14.573791996296073,14.107753242622282,18.72919997178175,8.408628068427793,8.302898258199699,12.193270662356527,14.279880877165313,93.59951397400569,42.173064603899135,132.6422464946578,128.40063063678272,170.46237245160304,76.53048137490647,75.56818964234488,110.97611473962448,129.96723705846088,851.8887745533603,0.5919586179163328,0.6002895578452618,0.09306649581361326,0.7456581800022382,0.7155776264369672,0.7139925077068583,0.6400231792412223,0.7841944514508056,-0.31886416879513035,0.8434147612459235,0.9753623974355222,0.830834355565673,0.843447985662575,0.8477911715395808,0.842679423531295,0.8473423035403487,0.8462979044156703,0.8434147612459234,49.563410588705935,133.6728029935004,135.53542646770816,171.79137256661107,80.14141149258617,79.32131498632354,113.88079041558913,131.6290609057466,852.5666764845034,4.633678089946527,14.573791996296073,14.10775324262228,18.72919997178175,8.408628068427793,8.3028982581997,12.193270662356527,14.279880877165311,93.59951397400572
11881,19.943025690571424,-132.8822357914579,79.1084311479255,-177.62556176964117,59.514911573592045,-89.82619866189191,92.15880115141397,-134.21832385510294,-812.2245641416807,2.181303067124403,-15.523325908660505,8.945092712963918,-20.636107934013097,6.793943455793258,-10.499133203149174,10.55745725348431,-15.607158174506269,-93.922992400016,3.3006149825911235,15.364854242695808,9.441629050908052,20.538417720865425,7.039136902145398,10.386387927588798,10.724290969839226,15.519342901251557,93.91557845218233,28.545216989740872,132.8822357914579,81.6554949354414,177.62556176964117,60.877651998807565,89.82619866189191,92.74853759369908,134.21832385510294,812.2245641416807,0.8912965372257085,0.8355188168576134,0.74229953903634,0.7476788505708192,0.8603335588275267,0.887135443268285,0.80251769606862,0.8124452146970527,-0.3251887260958324,0.9701760633605355,0.9786907588245116,0.9548991542960429,0.9699143924874555,0.9771832309956354,0.9694309400931713,0.9759197739503912,0.9731428937423838,0.9701760633605357,34.08171440310772,134.50634243705778,89.10344938504305,179.65097856050193,64.78862300583663,93.12813868841691,96.5792541622782,136.3917215798458,817.6245652095974,3.300614982591124,15.364854242695806,9.441629050908052,20.538417720865425,7.039136902145398,10.386387927588796,10.724290969839226,15.519342901251559,93.91557845218233
11892,26.471625779222652,-176.76355317954526,83.89938548765036,-71.67490376613979,118.02985677930883,-74.40344314577419,97.21840067954963,-116.44941481336507,-597.544491277778,3.290882020179021,-22.503521862968555,10.49523397969225,-9.139030012053038,14.935697642747353,-9.497037328802547,12.291122756711784,-14.805744017367775,-75.7920400307566,4.095341578784513,22.415959561720314,10.639553225285496,9.089327044586165,14.967749001703082,9.435341974113634,12.328580745796442,14.767328029387267,75.77655524499492,32.29427350440503,176.76355317954526,83.89938548765036,71.67490376613979,118.02985677930883,74.40344314577419,97.21840067954963,116.44941481336507,597.544491277778,0.4774592771341466,0.6703810688836804,-0.011026958016574717,0.6896811263213962,0.5063872748226188,0.6267719775966745,0.5121569908082417,0.7495753397066252,-0.0036967001648544606,0.8781608491234885,0.9364121774144601,0.8701079995433185,0.8851062514156033,0.88667768221034,0.8778606864816652,0.8840952164099555,0.8789602733438396,0.878160849123489,39.50333918477529,177.58430842680866,95.51137251393482,75.12239259756637,121.13080564351937,78.39408391310741,101.02000447430879,118.2540560965466,598.1254744761259,4.095341578784512,22.415959561720317,10.639553225285496,9.089327044586161,14.967749001703078,9.435341974113635,12.328580745796446,14.767328029387272,75.77655524499494
11898,-37.605761337496745,-149.2090495221283,0.071344998258659,-162.58424720575056,47.79264645803208,-141.4464803451911,40.063792882042875,-178.38908534973027,-711.3321891120034,-4.376944269919012,-17.260298084160734,-0.07519061448748807,-18.774983242394903,5.486699782501707,-16.344880444537676,4.592347294534522,-20.590943258870688,-82.01232354959099,4.549405265658761,17.201263045835894,3.7070797169040195,18.74319561884595,5.536722465112702,16.306370981637112,4.713627287761859,20.565224371003758,82.00449059271855,39.462941399773406,149.2090495221283,32.156350355674135,162.58424720575056,48.0272346446834,141.4464803451911,40.88745376048271,178.38908534973027,711.3321891120034,0.363028674285528,0.5029195206801831,-0.16698029722497676,0.5925904691957373,0.4610418344715963,0.5079744066448606,0.43288365178858057,0.6468276575804339,-0.08625440496570569,0.8474304811472946,0.9720045784644419,0.8509268390283695,0.8489398580963544,0.8456110589342218,0.847903052028168,0.8451438588296439,0.8444173716013108,0.8474304811472946,45.41469909589253,149.9498928812245,38.352068389412736,163.74233121120054,53.163246352983016,143.088869073307,46.67922417262601,179.31086148504804,711.6329866107942,4.549405265658762,17.201263045835887,3.707079716904019,18.74319561884595,5.536722465112703,16.306370981637112,4.71362728776186,20.565224371003755,82.00449059271857
11900,31.688519544839263,-125.94961203229633,109.54470511230618,-145.0312899948685,87.9849838361924,-83.03116190502938,102.96257199431363,-134.03783316941949,-786.8743718211741,3.48959336515699,-14.029712475999181,12.099778220188634,-16.145408668075785,9.763645703451337,-9.25921250784369,11.425778774660548,-14.915734160865687,-87.46241331948612,3.7491645160416724,13.998881921172988,12.175530890588721,16.119747181062795,9.77923932979911,9.228638441444756,11.443948610806927,14.897860892397519,87.45847835638587,33.73168077991288,125.94961203229633,109.54470511230618,145.0312899948685,87.9849838361924,83.03116190502938,102.96257199431363,134.03783316941949,786.8743718211741,0.1649811362219309,0.6509355008047046,-0.530489694464362,0.48397809158194827,0.3225789209832367,0.34748888871334216,0.25580889433555176,0.5460372372780522,-0.18956224773023722,0.7986085282190225,0.9468908800672862,0.82335060820553,0.8025928798729269,0.792448102037993,0.8009982714149358,0.7898565974010715,0.7860177272934796,0.7986085282190227,43.49321483561651,126.55677544848965,118.49885406681211,146.73046934127427,91.85616690139699,86.88067453500405,106.67218788163765,135.76083454867006,787.158626440658,3.749164516041673,13.998881921172988,12.175530890588723,16.119747181062795,9.779239329799108,9.228638441444756,11.44394861080693,14.897860892397519,87.45847835638587
11901,-83.15525868271466,-157.9879653325777,-62.815958887729316,-173.3986501790892,24.45661863677011,-184.0441074450573,-1.7695824248335847,-215.23569497404432,-680.1132274085551,-9.428826717423116,-17.932645582785863,-7.173755534236734,-19.65171062191253,2.7847396269012616,-20.861012126121476,-0.18912233664806616,-24.380933792388074,-77.05741165602706,9.460348960746957,17.899730763403262,7.9162245474224315,19.645731536636433,3.6129182578346075,20.85184124577167,3.0419048861839277,24.385787756676372,77.05551263740531,83.49965166517428,157.9879653325777,69.87078330363035,173.3986501790892,31.888613969279923,184.0441074450573,26.848692310277617,215.23569497404432,680.1132274085551,0.4293924491117024,0.7364709878439666,-0.0428128395959102,0.5489875749371826,0.4784362564698632,0.5099005934902006,0.48232232334108815,0.5612217116259961,-0.05073058587233392,0.666711277079594,0.9245788696246932,0.6958411342178905,0.6818299560856312,0.659504556364296,0.6696282923505508,0.6559925937043216,0.6508969125920122,0.666711277079594,89.85392055299596,158.64063025523984,78.23101032277978,175.82969059988298,41.087654931007286,186.55717258561813,33.05030756395085,217.0236641048189,680.5806946335356,9.460348960746954,17.899730763403266,7.916224547422431,19.64573153663643,3.612918257834608,20.851841245771674,3.0419048861839273,24.385787756676365,77.05551263740533
11903,30.756588029729016,-154.74835876142,109.20656950109064,-131.28641633327123,92.4972810472594,-80.45196801302541,100.88142141109691,-131.10226535889188,-749.1186678437163,3.505075399871708,-17.80582947837494,12.433456902569773,-15.031834978726394,10.598973610961465,-9.2217049492377,11.553060374317582,-15.004840990097609,-85.72781199756685,3.8098696274769437,17.708712716238228,12.497113258579235,15.023832556277593,10.584976733901442,9.206564776529595,11.54442040273362,15.002759139229418,85.72580275095468,33.29271197710633,154.74835876142,109.20656950109064,131.28641633327123,92.4972810472594,80.45196801302541,100.88142141109691,131.10226535889188,749.1186678437163,0.6530583295834405,0.5800615399992455,0.19627512490767052,0.7808651018611282,0.7315288370562814,0.7568140701887227,0.6917988975994931,0.7910075779912445,-0.1952684605354178,0.8497362206647936,0.9780746904016935,0.8287628194585098,0.849053912152555,0.8568583678980479,0.8484914894326357,0.8562174539131067,0.8546653714992694,0.8497362206647936,40.30174231480334,155.66178072145527,116.61062417716768,132.96181753779504,95.32605612268397,83.66383493327695,103.71734161262592,132.63712539650516,749.7880351054223,3.8098696274769437,17.70871271623823,12.497113258579233,15.023832556277593,10.584976733901442,9.206564776529595,11.544420402733623,15.002759139229422,85.72580275095468
11904,11.190845160640922,-170.4930844360813,89.74135302950664,-133.8765790118375,79.62583625247845,-97.23321595748148,80.07010338336626,-147.28083255401813,-728.6135580453213,1.263662048587402,-19.648396257106036,10.216811495061938,-15.368589520689552,9.145201321122528,-11.174084408271819,9.19047129379232,-16.89961776845534,-83.5832939536431,2.744213641394991,19.557444687497114,10.294326915727352,15.357126053737133,9.133965130341583,11.153726552403583,9.184927489709706,16.894742362899905,83.58004318570568,23.92283120565883,170.4930844360813,89.74135302950664,133.8765790118375,79.62583625247845,97.23321595748148,80.07010338336626,147.28083255401813,728.6135580453213,0.6237065137997077,0.6625769628176144,0.1491675421062525,0.7566767071778954,0.6992866080802151,0.7226952913653097,0.6710346612221776,0.765295929589519,-0.15731700289199657,0.8342124815087923,0.9803842439690655,0.8179081085518716,0.833206338315463,0.840226578126392,0.833155292102082,0.8398000749195991,0.8386869377744385,0.8342124815087925,31.094108099344353,171.0465730553269,100.41745987943709,135.95159901985963,83.80233946261814,100.54740809395551,84.48986831568403,148.96520478250218,729.3231463388142,2.7442136413949916,19.55744468749711,10.294326915727352,15.357126053737131,9.133965130341583,11.153726552403581,9.184927489709706,16.89474236289991,83.58004318570566
11905,22.560311085039054,-134.3566379889941,89.71056483305293,-161.30115996261728,74.91698836028394,-90.53993517643694,95.74497377211554,-138.2215569735819,-800.0222182158208,2.4825116451670084,-15.119019554808954,9.966080627170294,-18.122404768759488,8.372692513409268,-10.195071799495437,10.703915044954925,-15.527609023508834,-89.70635511120753,4.275690732309012,15.064593464452095,10.370318616642479,18.085718997973405,8.406451007812246,10.253627079826996,10.735302160952411,15.497943346879397,89.70163037971943,38.13361663089743,134.3566379889941,92.48979386629838,161.30115996261728,74.97464153241413,91.44905668309504,95.74497377211554,138.2215569735819,800.0222182158208,-0.1569578876153075,0.5672027667891406,-1.0352706583091726,0.23085094673006967,0.07872706206741886,0.04951704000347357,-0.012226275982433199,0.3237154950170017,-0.2363418408378719,0.6789821331198449,0.9542335080442739,0.6382611234125096,0.678919496043665,0.7040096348397663,0.6756822465259169,0.701112568053101,0.6948880860740629,0.6789821331198447,52.794761615913465,135.30563915147232,116.08848600958846,165.4239026378509,85.13874589027128,99.83689236591488,104.93169219812587,142.31742390352701,800.4382310877095,4.2756907323090125,15.064593464452093,10.370318616642482,18.085718997973405,8.406451007812244,10.253627079826996,10.73530216095241,15.497943346879396,89.70163037971943
11910,-180.46580834106751,-194.31365562561257,-204.68380186450437,-165.99975903409768,-22.870948107743825,-263.70698463623455,-93.67413503365363,-277.3307174412595,-534.8287682190075,-21.987651589871064,-23.72225354723935,-24.982025441645007,-20.208353964511698,-2.810835999231211,-32.097727854152424,-11.417860361679496,-33.73539911845421,-65.01388623947344,21.928507834315894,23.611168003901355,24.87125064854708,20.170729568862054,3.2573289033544985,32.043192733942156,11.382399928500982,33.69862061966665,64.98736210320212,180.46580834106751,194.31365562561257,204.68380186450437,165.99975903409768,26.806953670449374,263.70698463623455,93.67413503365363,277.3307174412595,534.8287682190075,0.6668403805877848,0.5985982167465496,0.421192508780311,0.7352068638629747,0.7064243961955534,0.6448585097885676,0.7456640992316004,0.6365885342211777,0.19508370634399452,0.867422125566732,0.9684862696407986,0.844429788086502,0.87149413792325,0.8800663038411088,0.8659900267912253,0.8777693758515206,0.8730999011866812,0.8674221255667329,181.89360846290742,194.9937133366719,207.1329699618654,167.26533117863332,32.4279302348581,264.49010077952,96.11197014542336,277.9496687330838,535.2928306426993,21.928507834315898,23.611168003901348,24.871250648547072,20.17072956886205,3.2573289033544977,32.04319273394215,11.382399928500982,33.69862061966665,64.98736210320212
11916,-305.24733141611114,-260.0926233565914,-361.65034292696487,-125.43542313676062,-110.06076075238984,-355.24782315280436,-224.5526903170477,-349.66359453553673,-348.09409099611315,-45.426729322478025,-38.780990573934,-53.84386989773441,-18.60937312510335,-16.361013766420168,-52.861829956261005,-33.4002999032045,-52.0211644482086,-51.79645994727087,45.40067162572737,38.68462905311853,53.78971991789938,18.65651840311439,16.36978261076211,52.83744722645481,33.39863090190422,52.006882292244306,51.77344367550616,305.24733141611114,260.0926233565914,361.65034292696487,125.43542313676062,110.06076075238984,355.24782315280436,224.5526903170477,349.66359453553673,348.09409099611315,0.43388449250136885,0.6039928174694196,0.3659196926201639,0.6618868936686453,0.7763398330899478,0.3241225887632092,0.5577687447681793,0.3158562718722714,0.33672908529405843,0.9120551460178757,0.9610746675523939,0.9066763995314497,0.9198560358864682,0.9187671169800912,0.9119952939008495,0.9163915102200276,0.9115838565770068,0.9120551460178761,305.80799447962613,260.31973635948214,362.13499941755987,126.58320497699108,111.14890191913314,355.83293054705626,225.22219148949435,350.2932614572327,348.68121569135087,45.400671625727355,38.68462905311852,53.78971991789937,18.656518403114383,16.3697826107621,52.83744722645481,33.39863090190423,52.0068822922443,51.77344367550616
11917,32.63355965163973,-161.85226050962075,102.29633250266737,-74.44854066228626,112.42729182249259,-67.03130436983687,97.8123805812017,-112.5453480824005,-604.2944119281657,4.445665868908235,-20.602435836230963,13.456348849019692,-9.313489707111753,14.753780418344517,-8.389160386227017,12.856290862656664,-14.262398361605532,-77.59195549054859,5.078279957093184,20.79649111171169,13.187532533698857,9.68696939574264,14.445848131736803,8.770542889072914,12.567969684003325,14.461017249252532,77.6461405416956,39.52258513905528,161.85226050962075,102.63423476863875,75.39050149212484,112.42729182249259,68.25825495598205,97.8123805812017,112.5453480824005,604.2944119281657,0.938771067692464,0.7134010205901069,0.8029797817564726,0.858370941681667,0.8044218147754503,0.8759574461690841,0.8286602206773361,0.7923348922081916,-0.09850468557392356,0.9807613837939145,0.9812432448000679,0.9712697581958816,0.982128389443208,0.9843799962588327,0.9803324617484211,0.9837603864636274,0.9824045749920592,0.9807613837939142,44.6012257091041,166.49507143495367,111.27949943187089,80.55591370982661,117.49208886816321,73.88138671183486,103.27818658602432,117.55007857533187,615.431098053694,5.078279957093183,20.79649111171169,13.187532533698857,9.686969395742638,14.445848131736803,8.770542889072914,12.567969684003323,14.461017249252532,77.64614054169559
11918,-75.47423926583217,-201.43178340735588,-45.68709752868853,-128.81266840322044,41.29153476189027,-169.29555047606698,1.2205281908912315,-201.7389260725508,-595.8149931339268,-9.180102933641288,-24.50210441107431,-5.6057662320059505,-15.642786870123892,5.012648327639692,-20.565562406236186,0.145611601511979,-24.490973227447732,-72.31326945415329,9.159408393942252,24.445373490280925,5.544498211174044,15.632457480796159,5.011061174988659,20.545382122050132,1.410175718703,24.482647732897874,72.306960658802,75.47423926583217,201.43178340735588,45.68709752868853,128.81266840322044,41.29153476189027,169.29555047606698,11.619957864379954,201.7389260725508,595.8149931339268,0.7883719457101059,0.7031571576616257,0.48366992329179337,0.8182128816422614,0.812315259728795,0.7704505924166524,0.836548529539483,0.7189527178540152,0.02616602900512499,0.9029897269907685,0.9756326831288972,0.9041659399544169,0.9077150454747597,0.9046963491783239,0.9032574509761304,0.9034117077731664,0.901137526990324,0.9029897269907683,77.11369186437813,201.63946318094324,51.22641838389409,129.52659468799285,44.112505874933305,169.88205310931943,15.32920637957759,202.19923720713848,596.217467767089,9.159408393942252,24.44537349028092,5.544498211174042,15.632457480796159,5.011061174988658,20.545382122050132,1.4101757187029997,24.48264773289787,72.30696065880198
11927,14.162965224547213,-143.32801888112985,83.61561139446286,-170.44343218093658,63.846363622284315,-97.44322943947067,85.9957830980756,-145.549462070866,-804.4917220057227,1.6223372400827725,-16.154544758101473,9.396300234405448,-19.13301776730506,7.222735029119069,-10.927422302674984,9.711882372792775,-16.326672149811237,-90.41951430479422,3.1323249473426533,16.10962690274575,9.398136619239331,19.157315658814554,7.1761341926107765,10.952318204931217,9.665660571701656,16.359310260205504,90.42238627890455,27.868425004805175,143.32801888112985,83.61561139446286,170.44343218093658,63.846363622284315,97.44322943947067,85.9957830980756,145.549462070866,804.4917220057227,0.8272651596798175,0.8174747084142491,0.5513712772898517,0.7530699358650031,0.8478816248210326,0.8380706474848638,0.8062776265153231,0.7786572361939182,-0.2766653983133296,0.8839869249603332,0.9304327827343166,0.8295976065502251,0.8857925967261276,0.9137353724361398,0.880770500105742,0.9086915312251885,0.8977459118332377,0.8839869249603329,34.394587729258895,145.15145214498472,96.24603767545509,172.66540175711964,69.1876014983638,101.66795374767382,90.56923330059685,147.89009238281065,806.3007327397394,3.132324947342653,16.10962690274575,9.398136619239333,19.157315658814554,7.176134192610777,10.952318204931215,9.665660571701654,16.3593102602055,90.42238627890454
11930,-367.6714199189133,-328.9583783982263,-414.8398587135971,-73.02511472181773,-147.99345944184185,-412.36996107258847,-291.90235908135094,-409.674503634413,-314.40158468376086,-52.63311261735804,-47.12951394886791,-59.38822773560235,-10.417613845884619,-21.193256966744748,-59.02546377728305,-41.78420811526335,-58.637442093186074,-45.01553031607542,52.60651154084882,47.06744063349213,59.3553826398415,10.448450252761948,21.17493830174345,59.001989115849106,41.765456845138274,58.61632244406777,44.98465123227441,367.6714199189133,328.9583783982263,414.8398587135971,73.02511472181773,147.99345944184185,412.36996107258847,291.90235908135094,409.674503634413,314.40158468376086,0.3967855688402022,0.5205200953780293,0.3244916056583439,0.7455821344827748,0.7051806641109941,0.29963559314243515,0.5168886968789849,0.2967435420200071,0.5002617556439724,0.8046927261489065,0.9093069801989263,0.7931506386067901,0.811824586008384,0.8153330673162728,0.8041935284742922,0.8122427995787191,0.8061208392287901,0.8046927261489066,368.05418582729004,329.1757148260304,415.1977834169445,74.87820324511887,149.0947814580234,412.72691847226906,292.36831856589384,410.03501165861286,314.8607301951804,52.60651154084883,47.067440633492126,59.35538263984151,10.44845025276195,21.17493830174345,59.001989115849106,41.76545684513828,58.61632244406777,44.984651232274416
11931,-241.87530070343175,-260.9738844825584,-287.8679232513143,-83.9454556421407,-36.72826493135972,-305.5417955560714,-157.338397104606,-307.82928093220323,-345.9317948061053,-33.56281843329724,-36.22253435827036,-39.959032249317936,-11.662700047607409,-5.140580973767277,-42.374226017756605,-21.84173734476103,-42.68066473880649,-47.96116909727231,33.500036787615755,36.14521493243421,39.87007350832311,11.626552376312894,5.370216261861324,42.31792730185674,21.791568117041788,42.63474693589415,47.911993569858744,241.87530070343175,260.9738844825584,287.8679232513143,83.9454556421407,38.77376856076619,305.5417955560714,157.338397104606,307.82928093220323,345.9317948061053,0.5365982115948686,0.5939925705680255,0.38903125687649287,0.610175444964032,0.450807618236135,0.5268043768118543,0.5933523886819401,0.5397292282630264,0.4891516223593748,0.8229411426659854,0.9363392444858786,0.8022799813021771,0.829303242592174,0.8355677772773842,0.8216591999086815,0.8331788048670752,0.8283972586187544,0.8229411426659852,242.78390300695133,261.2652068005275,288.9492861417446,86.74289178622848,44.75883097936164,306.1103076011375,158.74246080562494,308.3139277456515,346.3618856430661,33.50003678761576,36.14521493243419,39.87007350832311,11.626552376312896,5.370216261861324,42.31792730185675,21.791568117041788,42.63474693589416,47.91199356985875
11933,-184.72612604871125,-229.03237939461118,-196.2805785316602,-99.69572830278909,-9.487407570890735,-260.21647787719377,-104.9916989367346,-276.37462671695914,-430.31871344861383,-24.149937941359514,-29.834117441721915,-25.798060948749928,-12.722722522315733,-1.2755592480151974,-33.89349738702443,-13.69282537517645,-35.93893888020315,-55.82546670553115,23.90283771344415,29.63589348671643,25.397938641911637,12.900237044525047,1.8486335137205572,33.670993779312155,13.585514916724808,35.761794998002486,55.68155730125566,184.72612604871125,229.03237939461118,196.2805785316602,99.69572830278909,14.28662619758089,260.21647787719377,104.9916989367346,276.37462671695914,430.31871344861383,0.6807268314109347,0.607468035974167,0.6751348261554211,0.8204192843300575,0.9863481626278533,0.541158247336195,0.8187235964229013,0.5072271953689147,0.22375662240535932,0.9911415229947872,0.9799348692941214,0.9815331419919526,0.994666632357038,0.9941159798978009,0.9908279930983991,0.9934954757204324,0.992057118278242,0.9911415229947871,187.53603711917307,232.72535577726933,199.44101257783456,101.89831706780198,17.31977567057487,263.94661329977185,107.16008738954552,280.3878428333816,436.4985007758363,23.90283771344415,29.635893486716434,25.39793864191164,12.900237044525047,1.8486335137205574,33.67099377931217,13.585514916724806,35.76179499800249,55.681557301255665
11934,-72.1593716830604,-209.90200872756554,-30.562935945303373,-128.02040653073573,45.49215448938014,-170.30105616692282,3.8981156373982193,-207.57655024549177,-619.004322708211,-8.437102675674119,-24.50603323258705,-3.6521954119793434,-14.91615543359027,5.2742377441208745,-19.848373707610595,0.431506834069655,-24.16782234316991,-72.00608940058434,8.392393430777453,24.412355568857436,4.008203208331921,14.88923190036899,5.315918773112425,19.806622919435167,1.8646036234966592,24.14189641665998,71.99242025466194,72.1593716830604,209.90200872756554,34.46328243270461,128.02040653073573,45.70726596053332,170.30105616692282,16.03221143280128,207.57655024549177,619.004322708211,0.6891446994747723,0.602931266251356,0.31391982523619966,0.7941301741917979,0.7184978333489571,0.7398202109053529,0.743553078241558,0.7418116191154058,0.053748005058036896,0.9081207002977826,0.9815450618436431,0.9028218100659491,0.9053498076815123,0.9077716900815264,0.9079035584882295,0.9081423638458477,0.9086593402753215,0.9081207002977826,74.92156339242966,210.3474334022594,44.055137333792665,129.11920767748308,49.54106678341711,171.1644079978564,19.497776702179642,208.13607017297815,619.4601610493187,8.392393430777453,24.412355568857432,4.00820320833192,14.889231900368989,5.315918773112423,19.806622919435167,1.8646036234966592,24.141896416659975,71.99242025466195
